nombre,precio,correo
Chocolate,499000,r4yen987@gmail.com
Bebida,249000,r4yen987@gmail.com
Leche,5000,r4yen987@gmail.com
Agua,4000,r4yen987@gmail.com
Bebida,1000,r4yen987@gmail.com
Sal,759000,r4yen987@gmail.com
Azucar,12000,r4yen987@gmail.com
Sal,5000,r4yen987@gmail.com
Azucar,3000,r4yen987@gmail.com
Dulces,7000,r4yen987@gmail.com
Azucar,249000,r4yen987@gmail.com
Dulces,2000,r4yen987@gmail.com
Dulces,249000,r4yen987@gmail.com
Leche,12345,r4yen987@gmail.com
Dulces,12345,r4yen987@gmail.com
Azucar,1000,r4yen987@gmail.com
Agua,12000,r4yen987@gmail.com
Sal,1099000,r4yen987@gmail.com
Leche,2300,r4yen987@gmail.com
Bebida,2000,r4yen987@gmail.com
Azucar,759000,r4yen987@gmail.com
Sal,12345,r4yen987@gmail.com
Dulces,759000,r4yen987@gmail.com
Agua,3666,r4yen987@gmail.com
Sal,759000,r4yen987@gmail.com
Galleta chocolate,4300,r4yen987@gmail.com
Agua,3666,r4yen987@gmail.com
Chocolate,4300,r4yen987@gmail.com
Dulces,1099000,r4yen987@gmail.com
Chocolate,5000,r4yen987@gmail.com
Leche,4300,r4yen987@gmail.com
Agua,4000,r4yen987@gmail.com
Azucar,3666,r4yen987@gmail.com
Leche,3666,r4yen987@gmail.com
Azucar,5000,r4yen987@gmail.com
Sal,5000,r4yen987@gmail.com
Sal,999000,r4yen987@gmail.com
Sal,3000,r4yen987@gmail.com
Sal,759000,r4yen987@gmail.com
Galleta chocolate,3666,r4yen987@gmail.com
Dulces,499000,r4yen987@gmail.com
Leche,1099000,r4yen987@gmail.com
Agua,4300,r4yen987@gmail.com
Dulces,4000,r4yen987@gmail.com
Leche,4300,r4yen987@gmail.com
Chocolate,499000,r4yen987@gmail.com
Galleta chocolate,12345,r4yen987@gmail.com
Azucar,499000,r4yen987@gmail.com
Dulces,2000,r4yen987@gmail.com
Leche,4300,r4yen987@gmail.com
Sal,5000,r4yen987@gmail.com
Agua,499000,r4yen987@gmail.com
Dulces,7000,r4yen987@gmail.com
Galleta chocolate,12000,r4yen987@gmail.com
Agua,1099000,r4yen987@gmail.com
Dulces,249000,r4yen987@gmail.com
Agua,499000,r4yen987@gmail.com
Bebida,2000,r4yen987@gmail.com
Dulces,1000,r4yen987@gmail.com
Leche,759000,r4yen987@gmail.com
